entity_id   value
001 .094
003 .076
005 .089
007 .073
009 .065
011 .051
013 .079
015 .084
017 .052
019 .068
021 .08
023 .051
025 .103
027 .071
029 .072
031 .058
033 .062
035 .086
037 .078
039 .089
041 .062
043 .051
045 .059
047 .099
049 .072
051 .074
053 .063
055 .082
057 .095
059 .063
061 .108
063 .096
065 .067
067 .125
069 .053
071 .107
073 .097
075 .064
077 .074
079 .072
081 .086
083 .069
085 .078
087 .059
089 .066
091 .066
093 .061
095 .082
097 .065
099 .087
101 .056
103 .095
105 .097
107 .07
109 .045
111 .044
113 .087
115 .087
117 .058
119 .084
121 .077
123 .083
125 .06
127 .11
